Rooms,Size,ExternalView,Floor,Balconies,Attic,Elevator,Bathrooms,Neighbourhood,Price
5,163,1,2,1,0,1,3,1,211445
5,172,1,1,0,0,1,3,1,209093
5,168,1,0,1,0,1,2,1,208981
5,167,1,9,0,0,1,3,1,208070
5,163,1,0,1,0,1,1,1,207542
5,163,0,5,2,0,0,2,1,205376
5,168,1,6,0,0,1,3,1,205010
5,164,1,9,1,0,1,3,1,204226
5,168,1,0,1,0,1,2,1,204031
5,168,1,2,0,0,1,2,1,204004
5,163,1,4,1,0,1,1,1,203639
5,172,1,0,1,0,1,3,1,203566
5,171,1,1,0,0,1,3,1,203566
5,168,1,3,1,0,1,3,1,202618
5,165,1,6,1,0,1,2,1,202382
5,170,1,5,0,1,1,3,1,201618
5,168,1,9,0,0,1,2,1,200722
5,161,1,7,0,0,1,1,1,199772
5,167,1,10,1,0,1,2,1,198947
5,162,1,10,1,0,1,1,1,198940
5,168,0,7,0,1,0,3,1,198786
5,168,1,9,0,0,1,3,1,198704
5,161,1,9,1,0,1,3,1,198644
5,162,0,0,1,0,0,2,1,198627
5,160,0,10,0,0,0,3,1,198461
5,171,1,9,2,0,1,3,5,198064
5,167,1,0,2,0,1,2,4,198047
5,172,1,2,1,0,1,3,3,197669
5,165,1,7,0,0,1,2,2,197534
5,171,0,9,0,0,0,3,1,197422
5,160,1,8,0,0,1,2,1,197372
5,150,1,3,2,1,1,2,1,197059
5,168,0,5,0,0,0,2,1,197039
5,162,1,6,1,0,1,1,2,196961
5,167,1,9,1,0,1,2,5,196919
5,154,1,6,0,0,1,2,1,196845
5,165,1,0,2,0,1,3,2,196822
5,171,1,5,0,0,1,3,4,196377
5,150,0,9,1,0,0,1,1,196147
5,159,1,0,2,1,1,1,2,196115
5,159,1,5,0,0,1,3,1,195828
5,164,0,1,2,1,0,1,1,195811
5,165,1,3,1,0,1,3,5,195725
5,170,1,6,1,0,1,3,5,195700
5,160,1,4,2,0,1,2,5,195635
5,168,1,5,2,0,1,3,2,195441
5,152,0,6,1,0,0,2,1,195375
5,159,1,9,2,0,1,3,5,195194
5,153,0,7,2,0,0,3,1,195146
5,161,1,7,1,0,1,1,1,195142
5,162,1,2,1,0,1,3,1,195063
5,153,1,8,0,0,1,1,1,195042
5,157,0,1,1,0,0,2,1,195014
5,160,1,7,1,0,1,1,2,194983
5,172,0,10,1,0,0,3,2,194729
5,167,0,8,1,0,0,3,1,194626
5,165,1,1,1,0,1,2,1,194582
5,151,1,8,0,0,1,2,1,194372
5,153,1,1,1,0,1,3,1,194288
5,149,1,7,0,0,1,2,1,194167
5,172,0,6,1,0,0,3,3,194154
5,168,0,7,1,0,0,2,2,194064
5,155,1,6,2,0,1,3,1,193870
5,154,1,6,1,0,1,3,2,193695
5,159,0,0,0,0,0,3,1,193610
5,165,1,10,1,0,1,3,2,193556
5,167,1,0,0,0,1,2,3,193464
5,148,0,7,1,0,0,1,1,193401
5,155,0,5,0,0,0,1,1,193393
5,159,1,6,0,0,1,3,2,193371
5,161,0,10,2,0,0,2,1,193333
5,162,1,2,2,0,1,3,3,193266
5,169,1,0,2,0,1,3,3,193162
5,156,0,1,2,0,0,3,1,193079
5,164,1,9,0,0,1,2,2,192981
5,167,0,8,2,0,0,2,2,192958
5,162,0,4,0,0,0,1,1,192955
5,148,1,8,1,0,1,2,1,192890
5,160,1,0,1,0,0,3,2,192854
5,162,1,1,0,0,1,2,2,192794
5,171,1,4,0,0,1,3,4,192656
5,155,0,2,0,0,0,3,1,192647
5,153,0,5,0,0,0,1,1,192624
5,160,1,9,1,0,1,1,2,192598
5,172,0,5,0,0,0,3,1,192525
5,149,1,10,1,1,1,1,1,192133
5,172,0,3,0,0,0,3,2,191996
5,164,1,10,2,1,1,2,4,191737
5,163,1,7,0,0,1,2,1,191733
5,164,1,8,1,0,1,1,3,191689
5,161,1,8,0,0,1,1,1,191622
5,163,0,4,1,0,0,2,2,191562
5,155,1,6,1,1,1,1,1,191556
5,162,1,7,1,1,1,2,4,191531
5,168,1,3,1,0,1,2,4,191530
5,163,0,3,1,0,0,2,1,191445
5,161,1,9,1,0,1,1,3,191414
5,155,0,2,0,0,0,3,1,191399
5,167,1,1,1,0,1,3,5,191360
5,166,0,1,1,0,0,3,2,191355
5,162,1,3,0,0,1,3,2,191337
5,159,1,6,1,0,1,1,3,191271
5,164,1,2,1,0,1,1,1,191263
5,164,0,9,0,0,0,3,1,191114
5,159,1,2,0,0,1,3,2,190970
5,168,1,0,2,0,1,2,3,190904
5,156,1,5,0,0,1,3,2,190895
5,159,1,9,0,0,1,1,2,190888
5,166,1,8,1,0,1,2,2,190806
5,171,1,5,1,1,1,3,5,190802
5,156,1,8,1,0,1,3,5,190733
5,162,1,4,1,0,1,1,3,190684
5,172,1,8,1,0,1,3,3,190525
5,150,1,3,0,0,1,1,1,190493
5,165,0,10,2,0,0,3,1,190403
5,158,1,5,0,0,1,2,1,190394
5,166,1,8,1,0,1,3,2,190310
5,152,0,0,0,0,0,2,1,190198
5,161,1,9,1,0,1,1,3,190185
5,170,1,4,0,0,1,3,4,190109
5,160,1,9,0,1,1,2,2,190019
5,163,0,6,0,0,0,1,2,190016
5,152,1,7,1,0,1,3,1,190001
5,170,1,6,1,0,1,3,2,189983
5,168,0,0,1,1,0,2,3,189928
5,158,0,10,0,1,0,2,1,189908
5,156,0,6,1,0,0,1,1,189896
5,166,1,4,2,0,1,2,5,189764
5,159,1,2,1,0,1,1,3,189748
5,160,0,1,2,0,0,3,1,189739
5,166,1,8,1,0,1,3,3,189730
5,165,1,5,0,0,1,2,2,189638
5,147,1,9,2,0,1,1,1,189610
5,157,1,7,1,0,1,1,2,189556
5,155,0,7,0,0,0,1,1,189510
5,171,0,1,2,0,0,3,2,189446
5,157,1,0,0,0,1,2,2,189425
5,169,0,3,0,0,0,3,1,189418
5,165,0,7,1,1,0,3,4,189410
5,160,1,5,1,0,1,3,3,189397
5,156,0,1,2,0,0,2,1,189377
5,151,1,9,2,0,1,2,2,189249
5,163,1,6,1,0,1,2,2,189229
5,168,1,0,0,0,1,3,2,189168
5,157,0,1,0,0,0,1,1,189166
5,161,0,0,1,0,0,2,2,189054
5,164,0,3,0,0,0,3,1,189043
5,155,0,6,2,0,0,2,2,188975
5,160,1,2,0,0,1,3,3,188973
5,163,1,3,1,0,1,2,4,188797
5,148,0,2,1,0,0,1,1,188641
5,169,1,8,1,0,1,3,4,188597
